City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
167,kotlas,61.2611,46.6556,-5.53,95,100,0.89,RU,1698777931
168,dire,12.2833,-10.9667,29.05,57,53,0.64,ML,1698778108
169,boende,-0.2167,20.8667,22.7,98,100,1.54,CD,1698778118
170,kavaratti,10.5669,72.642,27.92,72,100,2.29,IN,1698778123
171,dapa,9.7594,126.0531,26.98,84,86,3.89,PH,1698778127
172,kingston,17.997,-76.7936,30.69,81,40,3.6,JM,1698777923
173,kerema,-7.9631,145.7785,24.54,99,100,0.24,PG,1698778142
174,isangel,-19.55,169.2667,19.06,82,34,1.54,VU,1698778147
175,cabo san lucas,22.8909,-109.9124,30.34,64,0,4.12,MX,1698778097
176,morehead city,34.7229,-76.726,20.0,72,0,6.17,US,1698778156
177,machico,32.7,-16.7667,22.62,79,20,3.09,PT,1698778161
178,nenjiang,49.1833,125.2167,-6.57,87,17,1.62,CN,1698778171
179,tyukhtet,56.5389,89.3011,-6.0,53,100,2.87,RU,1698778175
180,la passe,45.5549,-0.8967,14.99,84,5,4.53,FR,1698778189
181,hadibu,12.65,54.0333,26.55,74,100,5.49,YE,1698778193
182,mora,11.0461,14.1401,29.26,21,72,2.86,CM,1698778198
183,mugia,43.1041,-9.2179,17.31,80,91,13.09,ES,1698778202
184,vertientes,21.2594,-78.1464,30.99,61,30,1.25,CU,1698778213
185,ta`u,-14.2336,-169.5144,26.73,71,12,8.69,AS,1698778217
186,buka,40.8108,69.1986,10.01,79,0,2.77,UZ,1698778231
187,norrtalje,59.758,18.705,6.12,99,100,3.43,SE,1698778109
188,rodniki,57.1051,41.7305,4.3,99,100,2.89,RU,1698778239
189,moncks corner,33.196,-80.0131,19.91,82,100,2.06,US,1698778244
190,broken hill,-31.95,141.4333,10.32,42,0,4.6,AU,1698778260
191,bardai,11.65,7.2333,26.14,21,63,3.1,NG,1698778264
192,klyuchi,52.2667,79.1667,1.4,98,99,2.95,RU,1698778267
193,okahao,-17.885,15.0667,26.29,8,0,5.25,NA,1698778283
194,akrehamn,59.2667,5.1833,5.23,60,0,4.12,NO,1698778298
195,klaksvik,62.2266,-6.589,2.51,62,97,11.04,FO,1698778305
196,ketchikan,55.3422,-131.6461,5.99,87,75,4.12,US,1698778315
197,margate,51.3813,1.3862,12.72,89,100,0.89,GB,1698778351
198,murghob,38.1702,73.9667,-2.52,70,100,2.82,TJ,1698778361
199,georgetown,5.4112,100.3354,27.96,92,20,1.54,MY,1698778352
200,al burayqah,30.4062,19.5739,23.23,56,4,2.47,LY,1698778373
201,egilsstadir,65.2653,-14.3948,-2.05,93,40,1.03,IS,1698778378
202,ust-nera,64.5667,143.2,-15.73,100,100,2.47,RU,1698778392
203,inongo,-1.95,18.2667,21.61,97,100,2.11,CD,1698778397
204,koryazhma,61.3143,47.1691,-5.61,98,64,0.87,RU,1698778400
205,muynoq,43.7683,59.0214,12.23,58,14,3.63,UZ,1698778403
206,glace bay,46.1969,-59.957,7.34,81,75,4.63,CA,1698778405
207,moyynkum,44.2914,72.9469,7.03,66,100,1.54,KZ,1698778408
208,fisterra,42.9049,-9.2629,17.23,78,99,13.26,ES,1698778411
209,the pas,53.8251,-101.2541,-3.99,54,0,5.14,CA,1698778414
210,ripley,53.0333,-1.4,10.66,93,100,2.1,GB,1698778417
211,talnakh,69.4865,88.3972,-14.33,98,98,2.59,RU,1698778420
212,nizhniy odes,63.6445,54.856,-7.19,97,97,2.15,RU,1698778425
213,namtsy,62.7161,129.6658,-15.85,93,100,2.46,RU,1698778434
214,salalah,17.0151,54.0924,26.5,69,100,2.46,OM,1698778436
215,liwonde,-15.0506,35.2035,24.9,68,75,0.95,MW,1698778440
216,korla,41.7597,86.1469,13.15,39,100,0.95,CN,1698778443
217,winnemucca,40.973,-117.7357,9.03,23,0,1.54,US,1698778446
218,uhersky brod,49.0251,17.6472,11.32,84,98,3.59,CZ,1698778449
219,port-vila,-17.7338,168.3219,22.78,88,100,1.03,VU,1698778454
220,genhe,50.7833,121.5167,-8.6,95,13,1.32,CN,1698778457
221,hermanus,-34.4187,19.2345,16.11,78,40,6.6,ZA,1698778460
222,whitehorse,60.7161,-135.0538,1.43,99,100,0.0,CA,1698778463
223,sukhodol,53.9006,51.2117,6.34,94,100,1.6,RU,1698778466
224,bahir dar,11.5936,37.3908,17.22,84,100,1.27,ET,1698778468
225,ghat,24.9647,10.1728,25.9,17,0,3.53,LY,1698778471
226,berezovo,63.9381,65.0419,-8.31,95,100,2.94,RU,1698778474
227,aasiaat,68.7098,-52.8699,1.67,65,93,9.51,GL,1698778476
228,airdrie,55.866,-3.9803,7.04,77,100,4.72,GB,1698778479
229,kimbe,-5.5502,150.1429,24.19,93,100,1.44,PG,1698778484
230,ivanteyevka,55.9711,37.9208,8.73,99,100,2.24,RU,1698778487
231,geraldton,-28.7667,114.6,14.23,72,0,4.12,AU,1698778489
232,chonchi,-42.6128,-73.8092,12.56,55,33,1.39,CL,1698778500
233,khorugh,37.4897,71.553,8.42,73,100,1.45,TJ,1698778505
234,sultanah,24.4926,39.5857,29.25,34,0,1.03,SA,1698778544
235,fort st. john,56.2499,-120.8529,0.94,75,100,2.06,CA,1698778547
236,inarajan village,13.2736,144.7484,28.08,92,88,7.15,GU,1698778549
237,rio verde de mato grosso,-18.9181,-54.8442,36.85,29,92,6.11,BR,1698778551
238,port mathurin,-19.6833,63.4167,25.0,79,3,7.2,MU,1698778554
239,ebon,4.582,168.6964,27.46,75,100,2.91,MH,1698778557
240,lompoc,34.6391,-120.4579,28.34,37,87,0.89,US,1698778555
241,passagem franca,-6.1797,-43.7836,40.17,18,18,0.74,BR,1698778561
242,suva,-18.1416,178.4415,23.71,94,75,4.63,FJ,1698778173
243,huarmey,-10.0681,-78.1522,23.05,72,23,5.19,PE,1698778567
244,nadym,65.5333,72.5167,-10.24,90,99,4.51,RU,1698778570
